date,ore_extracted,equipment_workload,avg_processing_cost,pit_utilization_rate,production_intensity,operational_cost,haul_trips,safety_compliance_score,efficiency_index,operational_noise,revenue,profit,risk_zone,mine_region,shutdown_risk
1/1/2010,943.706.033.125.334,956.438.532.978.748,338.979.449.626.058,603.877.285.960.814,567.151.329.006.823,569.047.990.342.158,407.387.674.225.029,707.619.769.300.049,986.687.592.130.192,-227.523.981.107.612,400.471.627.700.269,136.494.597.229.407,Medium Risk,Papua,No
1/2/2010,65.565.566.277.659,688.573.214.051.974,32.936.283.465.242,745.186.046.660.736,455.683.416.770.575,34.446.905.906.734,147.265.803.348.273,728.383.141.123.093,95.219.455.156.892,769.081.414.066.696,308.578.567.051.973,109.749.476.272.108,Low Risk,Kalimantan,No
1/3/2010,875.062.860.703.469,831.181.790.396.299,615.689.822.023.269,612.776.296.230.538,49.119.244.148.337,463.532.584.456.362,383.788.844.326.045,833.832.578.585.492,105.279.358.957.834,-130.823.432.111.359,34.913.236.620.676,130.710.993.588.064,Low Risk,Sulawesi,No
1/4/2010,834.745.218.709.256,767.499.027.467.338,511.218.333.265.278,548.482.942.508.435,604.693.039.006.734,NA,260.987.614.688.929,73.733.553.151.702,108.761.729.830.958,-217.175.551.495.597,329.394.524.169.423,NA,Medium Risk,Papua,No
1/5/2010,730.004.869.248.773,417.722.955.729.939,429.112.218.793.016,792.261.684.258.572,512.133.741.329.652,549.901.655.782.869,317.072.051.684.372,795.341.987.655.707,121.667.478.208.129,-318.947.987.428.283,326.611.835.204.799,106.532.642.904.221,Low Risk,Papua,No
1/6/2010,397.103.974.238.298,40,295.894.005.212.467,698.381.263.239.885,563.842.243.393.152,70.728.902.703.244,285.569.222.804.625,708.907.205.290.515,66.183.995.706.383,-222.517.000.871.195,224.797.530.994.367,566.867.892.600.868,Low Risk,Sulawesi,No
1/7/2010,717.673.576.457.798,486.171.801.132.081,19.355.211.799.033,686.378.550.775.635,509.575.559.024.193,637.398.401.158.962,154.688.953.247.387,565.155.335.576.282,119.612.262.742.966,170.055.703.745.027,311.158.441.524.386,835.918.316.409.596,Medium Risk,Kalimantan,No
1/8/2010,666.377.992.635.683,571.058.580.986.403,302.493.100.035.936,705.844.145.034.008,462.140.157.668.743,499.755.317.850.975,115.997.670.565.266,720.259.434.643.345,111.062.998.772.614,-139.917.196.068.357,291.954.592.760.625,123.156.467.842.879,High Risk,Kalimantan,No
1/9/2010,870.439.799.433.515,544.909.876.069.016,603.301.170.261.111,782.953.008.714.789,544.676.261.929.375,55.038.128.534.991,191.397.787.823.807,893.176.141.942.364,145.073.299.905.586,-61.844.211.097.239,326.481.446.234.442,107.962.949.340.316,Medium Risk,Sulawesi,No
1/10/2010,764.717.623.268.783,503.497.462.658.682,304.837.321.620.435,959.000.415.313.446,62.495.047.170.136,623.940.125.223.923,419.479.155.766.312,680.304.901.895.606,127.452.937.211.464,-319.651.088.391.626,357.696.583.969.952,102.423.897.888.662,Medium Risk,Kalimantan,No
1/11/2010,776.521.353.219.173,792.381.432.134.592,287.344.157.197.513,762.914.725.695.371,342.754.082.459.665,472.911.161.153.358,291.224.811.938.591,957.071.097.757.886,979.984.287.525.904,34.874.166.024.002,339.102.770.434.731,130.763.980.949.202,Low Risk,Papua,No
1/12/2010,718.522.009.853.149,651.948.241.110.485,397.933.199.186.809,74.511.017.010.185,7.878.923.980.377,665.965.037.263.818,100.372.889.998.835,675.853.547.646.943,110.211.511.366.189,-241.294.850.411.557,299.088.014.205.836,871.052.617.871.119,Medium Risk,Papua,No
1/13/2010,810.141.412.106.889,482.212.978.898.416,3.218.842.422.124,77.970.463.254.104,42.988.230.725.649,39.222.871.205.578,354.851.263.740.566,842.722.640.081.328,135.023.568.684.481,460.925.862.751.462,35.538.227.192.659,112.717.216.523.296,Low Risk,Sulawesi,No
1/14/2010,809.353.025.602.789,801.484.345.466.395,219.464.246.742.427,100,40.818.255.711.732,490.267.049.562.748,93.245.382.013.265,705.251.532.866.878,100.981.763.421.944,-122.254.275.340.259,338.216.069.464.641,128.808.328.847.226,Low Risk,Kalimantan,No
1/15/2010,391.561.339.696.907,40,647.934.038.918.465,871.396.464.276.253,71.129.451.759.442,450.217.264.951.841,192.460.169.869.009,869.679.992.949.494,652.602.232.828.178,421.059.839.908.612,22.169.700.354,625.455.495.784.592,Low Risk,Sulawesi,No
1/16/2010,109.246.026.987.347,119.014.158.422.195,NA,703.150.756.567.294,234.191.713.713.549,641.927.071.820.684,348.623.129.082.844,821.692.242.441.446,917.924.627.083.468,-928.301.588.172.285,387.241.923.061.621,118.359.942.965.483,Low Risk,Sulawesi,No
1/17/2010,960.953.466.252.994,960.540.159.501.693,446.882.294.551.469,577.790.414.823.086,493.726.971.233.547,523.088.536.990.325,183.730.891.461.018,962.088.746.331.173,100.043.028.575.871,-92.853.087.784.381,363.405.546.893.212,128.449.205.756.028,High Risk,Sulawesi,No
1/18/2010,88.916.158.089.542,652.456.110.718.246,563.663.197.720.889,759.092.716.484.263,68.611.670.411.072,63.376.262.738.512,209.399.647.561.368,851.067.073.768.382,136.279.140.663.822,156.121.422.443.674,33.925.699.323.695,102.988.106.036.034,Medium Risk,Sulawesi,No
1/19/2010,705.150.610.527.953,760.816.161.945.577,258.404.124.116.059,693.027.039.013.629,578.277.867.279.023,459.827.302.849.987,24.113.551.968.243,85.222.401.942.726,926.834.425.710.312,12.664.101.056.797,332.501.524.721.301,10.953.783.122.121,Low Risk,Papua,No
1/20/2010,974.154.419.972.648,677.295.471.042.347,602.077.182.454.523,651.013.194.600.876,637.000.465.973.795,500.314.360.517.256,288.233.894.440.345,684.206.508.227.678,143.830.050.786.172,-294.146.761.040.016,375.668.790.394.451,164.936.043.873.345,Low Risk,Kalimantan,No
1/21/2010,790.839.037.463.757,668.748.411.441.131,314.836.758.065.503,100,648.795.264.830.714,455.283.516.033.267,157.427.173.799.369,833.383.098.371.748,11.825.658.557.596,249.581.639.078.274,329.236.149.077.212,12.161.774.341.352,Low Risk,Sulawesi,No
